epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,297.818,1.42609,0.66629,0.94772,0.83749,0.47366,0.46027,0.23558,1.57536,0.78824,1.01724,0.00123566,0.00123566,0.00123566
43,304.721,1.40765,0.64108,0.93378,0.83248,0.517,0.4978,0.24977,1.49387,0.78998,1.00364,0.00123094,0.00123094,0.00123094
44,310.188,1.41481,0.64103,0.93416,0.85578,0.52702,0.51486,0.26265,1.54662,0.79032,1.01794,0.00122622,0.00122622,0.00122622
45,316.838,1.44401,0.66265,0.93962,0.87223,0.53952,0.52678,0.27408,1.54879,0.78122,1.03642,0.00122151,0.00122151,0.00122151
46,322.786,1.45313,0.65727,0.94685,0.85518,0.54559,0.52152,0.2762,1.56311,0.77567,1.03206,0.00121679,0.00121679,0.00121679
47,328.37,1.39425,0.64021,0.93859,0.85999,0.54771,0.52554,0.27212,1.58361,0.79152,1.0224,0.00121208,0.00121208,0.00121208
48,334.945,1.45441,0.65159,0.94294,0.8431,0.53157,0.50371,0.26021,1.56039,0.79266,1.01609,0.00120736,0.00120736,0.00120736
49,340.619,1.4671,0.66209,0.94215,0.83156,0.49996,0.48298,0.25623,1.53779,0.79641,1.01158,0.00120265,0.00120265,0.00120265
50,346.963,1.40603,0.63889,0.93324,0.84115,0.50152,0.48797,0.26314,1.48312,0.78969,1.01172,0.00119793,0.00119793,0.00119793
51,353.253,1.43276,0.64107,0.93215,0.84354,0.50425,0.4875,0.24797,1.55496,0.80315,1.00367,0.00119322,0.00119322,0.00119322
52,358.913,1.4006,0.64313,0.93331,0.8472,0.53459,0.52036,0.26587,1.53952,0.79058,1.00548,0.0011885,0.0011885,0.0011885
53,365.863,1.38103,0.62582,0.92859,0.88715,0.53935,0.53362,0.28576,1.46384,0.76809,0.99867,0.00118378,0.00118378,0.00118378
54,371.385,1.39805,0.63937,0.92998,0.88677,0.5207,0.51542,0.27883,1.43336,0.77546,1.00476,0.00117907,0.00117907,0.00117907
55,378.241,1.37435,0.62891,0.93521,0.84937,0.52557,0.51592,0.2722,1.4661,0.78974,1.01851,0.00117435,0.00117435,0.00117435
56,383.817,1.35019,0.61894,0.93006,0.868,0.53482,0.51871,0.27288,1.51982,0.79742,1.02084,0.00116964,0.00116964,0.00116964
57,389.479,1.41137,0.63614,0.93462,0.85292,0.51879,0.50308,0.26726,1.50276,0.78876,1.00466,0.00116492,0.00116492,0.00116492
58,396.38,1.38149,0.61809,0.9356,0.84248,0.49334,0.47758,0.25803,1.49139,0.75227,0.99856,0.00116021,0.00116021,0.00116021
59,401.912,1.41941,0.62962,0.92196,0.86853,0.54282,0.53582,0.28123,1.58694,0.75825,1.01707,0.00115549,0.00115549,0.00115549
60,408.561,1.35112,0.61504,0.91769,0.85516,0.54046,0.52254,0.26406,1.67419,0.78376,1.0391,0.00115077,0.00115077,0.00115077
61,414.471,1.34637,0.61472,0.91909,0.85753,0.56282,0.54638,0.28052,1.63653,0.7934,1.02652,0.00114606,0.00114606,0.00114606
62,420.274,1.37959,0.61044,0.91916,0.84981,0.54581,0.52691,0.2798,1.60152,0.8003,1.01884,0.00114134,0.00114134,0.00114134
63,427.161,1.34717,0.63267,0.92964,0.8275,0.52373,0.50274,0.26366,1.54852,0.78528,1.01526,0.00113663,0.00113663,0.00113663
64,432.633,1.32274,0.60596,0.92049,0.85734,0.51051,0.4808,0.25626,1.55131,0.78867,1.02363,0.00113191,0.00113191,0.00113191
65,439.215,1.3583,0.60715,0.91718,0.84775,0.55955,0.53331,0.28967,1.49838,0.77818,1.01847,0.0011272,0.0011272,0.0011272
66,445.667,1.36107,0.6086,0.91665,0.83234,0.58233,0.55393,0.30933,1.48704,0.76581,1.0032,0.00112248,0.00112248,0.00112248
67,451.663,1.34822,0.59835,0.92012,0.86956,0.55006,0.53845,0.30236,1.44727,0.7414,0.98994,0.00111776,0.00111776,0.00111776
68,458.613,1.33749,0.61861,0.91933,0.87994,0.53218,0.53242,0.30044,1.41929,0.74542,0.98974,0.00111305,0.00111305,0.00111305
69,464.472,1.32555,0.59268,0.90227,0.8823,0.54308,0.53677,0.30187,1.41139,0.75609,0.98928,0.00110833,0.00110833,0.00110833
70,471.356,1.30354,0.59582,0.91171,0.88899,0.55928,0.55188,0.30431,1.45679,0.75168,0.99119,0.00110362,0.00110362,0.00110362
71,476.969,1.3058,0.59419,0.90697,0.89621,0.55686,0.5512,0.30683,1.46131,0.75637,0.99491,0.0010989,0.0010989,0.0010989
72,483.938,1.2691,0.5881,0.90887,0.89689,0.55201,0.5496,0.31286,1.41264,0.75474,0.98926,0.00109419,0.00109419,0.00109419
73,490.664,1.29616,0.58715,0.90779,0.8722,0.53618,0.52048,0.29846,1.40748,0.75181,0.98366,0.00108947,0.00108947,0.00108947
